job_id,first_seen_date,last_seen_date,title,company,location,is_remote,salary_min,salary_max,salary_currency,salary_period,salary_is_estimate,salary_raw,contract_type,contract_time,date_posted,source,url,description
3bef846df53d89a3,2026-08-20,2026-09-02,"Senior Analytics Engineer (Snowflake, AWS, Looker) Contract",Tenth Revolution Group,"London, UK",False,650.0,650.0,GBP,daily,False,,contract,,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/land/ad/5848848634?se=uChDCICc8RGgd9X26G9YQA&utm_medium=api&utm_source=jobaggregator&v=9292DD32BA86914A95E45A81B698FE59DD2659CF,"Senior Analytics Engineer Contract | Inside IR35 | £650 per day - 6 Months The Opportunity Our client, a leading software company, is looking for a Senior Analytics Engineer to join its established data team. You'll play a key role in delivering scalable, high-quality data products that support analytics, reporting, and business decision-making across the organisation. Working within a modern..."
0dcaff2d64831952,2026-08-20,2026-08-20,Senior Analytics Engineer,Tech 4,"Woodford Green, Essex",False,65000.0,65000.0,GBP,annual,False,,,full_time,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/details/5848067478?utm_medium=api&utm_source=jobaggregator,"Salary: £65,000 - 65,000 per year Requirements: We require a minimum of a BSc/BA in Computer Science or a related field, along with other professional management training. We require extensive experience of at least 5 years in at least 3 of the following: Azure SQL Server 2022, Azure Data Factory, Microsoft Fabric, ETL/ELT workflows, and Synapse. We require architectural experience in Azure data..."
d5d8ec0debaffc88,2026-08-20,2026-08-26,Principal Data Engineer,LMA Recruitment,"London, UK",False,600.0,650.0,GBP,daily,False,,contract,,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/land/ad/5848857713?se=uChDCICc8RGgd9X26G9YQA&utm_medium=api&utm_source=jobaggregator&v=873FC6E98ECCCA82B054D859B426C016C44E3891,Principal Data Engineer Location: London (Hybrid) Contract Type: Contract (Inside IR35) Day Rate: Up to £650 per day Duration: Initial contract through December with potential extension Start Date: ASAP Principal Data Engineer | Financial Services Transformation Programme We are seeking an experienced Principal Data Engineer to join a major financial services transformation programme focused on...
49e9312a5a81d424,2026-08-20,2026-09-18,Lead Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",False,70000.0,85000.0,GBP,annual,False,,permanent,full_time,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/land/ad/5848868207?se=uChDCICc8RGgd9X26G9YQA&utm_medium=api&utm_source=jobaggregator&v=7C341B28A6B6F0AB0EC138B8BFAF7B09F3B4D116,"Lead Data Engineer Up to £85,000 Holborn, London (4 days a week in office) This is an opportunity to take ownership of a Data Engineering function at a high-growth AI-driven SaaS business. Working directly with senior technology leadership, you will combine hands-on engineering with team leadership, helping to shape the technical direction, standards and future growth of the function. THE COMPANY..."
edc7b9a1465034a3,2026-08-20,2026-09-18,Investment Data Engineer,Sanderson,"London, UK",False,650.0,750.0,GBP,daily,False,,contract,,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/land/ad/5848864540?se=uChDCICc8RGgd9X26G9YQA&utm_medium=api&utm_source=jobaggregator&v=CBFA9AC98943BA4DA25D5E043DC7832334D8267B,"Investment Data Engineer £700-750/day overall assignment rate to umbrella 4-month initial contract London-based - twice a week onsite We are seeking an experienced Data Engineer to join a Platforms and Delivery division, working closely with the Investment Risk Team on a critical data platform maintenance and enhancement programme. Investment Data Engineer, key skills: Strong commercial..."
706e2f94646a3584,2026-08-20,2026-08-26,Graduate Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",False,35000.0,44000.0,GBP,annual,False,,permanent,full_time,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/land/ad/5848858173?se=uChDCICc8RGgd9X26G9YQA&utm_medium=api&utm_source=jobaggregator&v=FC5319CC65C3DFB4153AEB1CEDBC25AE0748F825,"GRADUATE DATA ENGINEER £44,000 LONDON This is an exciting opportunity to join a rapidly growing Tech business where you'll help build the systems that power key commercial decisions. You'll work on high-impact engineering projects, gaining exposure to data, analytics, and pricing functions while taking real ownership from day one. THE COMPANY Our client is a fast-growing tech business that has..."
ccf8896fda90a868,2026-08-20,2026-08-20,Data Engineer [211327],Aquent UK,"London, UK",False,48604.55,48604.55,GBP,annual,True,Adzuna estimate,contract,,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/land/ad/5848650524?se=ktyuCYCc8RGhArhxtbtVlg&utm_medium=api&utm_source=jobaggregator&v=EFB9F7D0DE2831BFAF0F0C17A81C58E76F265DB0,"Aquent, a trusted partner to leading organizations worldwide, is excited to collaborate with a prominent financial technology company on a critical engagement. This company is at the forefront of empowering individuals and businesses with innovative financial solutions, driven by a mission to revolutionize how people manage their money. Join a team where your expertise directly contributes to..."
67cc43978c732a23,2026-08-20,2026-08-21,Data Engineer,Sanderson Recruitment,"The City, Central London",False,90000.0,90000.0,GBP,annual,False,,,,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/details/5848714230?utm_medium=api&utm_source=jobaggregator,"Role: Data Engineer Salary: up to £90k Location: City of London Flexible working: Hybrid My client is looking for a Data Engineer with strong Microsoft Fabric expertise to own and develop the data platform, pipelines and reporting that support the business. You'll work closely with Engineering, Product and commercial teams to turn business requirements into scalable, secure and trusted data..."
4f56476635c8c859,2026-08-20,2026-08-21,Data Engineer,Capital on Tap,"London, UK",False,71611.53,71611.53,GBP,annual,True,Adzuna estimate,,,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/details/5848437988?utm_medium=api&utm_source=jobaggregator,"We’re Capital on Tap Capital on Tap started because small businesses were underserved. Big banks were slow, their products weren't fit for purpose, and small business owners often couldn't access what they needed. We set out to fix that. Today we're a financial platform - not just a credit card company. We offer a best-in-class business credit card, SME-focused spend management platform, a..."
70e96c54a4a23291,2026-08-20,2026-09-18,Data Engineer,Sanderson,"London, UK",False,550.0,590.0,GBP,daily,False,,permanent,full_time,2026-08-19,Adzuna,https://www.adzuna.co.uk/jobs/land/ad/5848193520?se=ktyuCYCc8RGhArhxtbtVlg&utm_medium=api&utm_source=jobaggregator&v=67929FFFA93073277FBE47BB3CAF1E793F04349D,"Role: Data Engineer Salary: up to £90k Location: City of London Flexible working: Hybrid My client is looking for a Data Engineer with strong Microsoft Fabric expertise to own and develop the data platform, pipelines and reporting that support the business. You'll work closely with Engineering, Product and commercial teams to turn business requirements into scalable, secure and trusted data..."
